111 132 | First point = 242 225 | Total Steps until valid point = 185189
122 131 | First point = 88 129 | Total Steps until valid point = 8311
111 130 | First point = 94 31 | Total Steps until valid point = 182951
119 126 | First point = 221 245 | Total Steps until valid point = 70128
124 119 | First point = 72 34 | Total Steps until valid point = 145934
122 133 | First point = 72 85 | Total Steps until valid point = 62765
115 132 | First point = 19 58 | Total Steps until valid point = 26525
113 132 | First point = 225 139 | Total Steps until valid point = 12812
122 128 | First point = 76 201 | Total Steps until valid point = 93198
126 116 | First point = 242 223 | Total Steps until valid point = 213648
111 133 | First point = 173 57 | Total Steps until valid point = 6915
135 126 | First point = 61 133 | Total Steps until valid point = 16170
123 114 | First point = 95 13 | Total Steps until valid point = 63104
130 127 | First point = 18 93 | Total Steps until valid point = 65045
110 132 | First point = 112 32 | Total Steps until valid point = 129923
120 116 | First point = 232 131 | Total Steps until valid point = 279394
109 132 | First point = 125 58 | Total Steps until valid point = 242355
121 115 | First point = 204 186 | Total Steps until valid point = 215325
121 114 | First point = 169 247 | Total Steps until valid point = 12572
129 122 | First point = 23 43 | Total Steps until valid point = 39220
110 130 | First point = 105 243 | Total Steps until valid point = 33261
134 127 | First point = 202 165 | Total Steps until valid point = 10397
133 123 | First point = 209 132 | Total Steps until valid point = 236000
125 128 | First point = 202 109 | Total Steps until valid point = 13155
125 115 | First point = 116 227 | Total Steps until valid point = 17400
120 115 | First point = 219 238 | Total Steps until valid point = 66399
112 132 | First point = 33 152 | Total Steps until valid point = 4374
119 116 | First point = 27 70 | Total Steps until valid point = 51593
110 133 | First point = 21 224 | Total Steps until valid point = 184541
118 132 | First point = 91 102 | Total Steps until valid point = 50890
134 123 | First point = 197 19 | Total Steps until valid point = 141572
108 132 | First point = 9 47 | Total Steps until valid point = 17431
114 129 | First point = 87 210 | Total Steps until valid point = 95793
111 129 | First point = 60 1 | Total Steps until valid point = 121716
111 128 | First point = 201 174 | Total Steps until valid point = 120435
119 133 | First point = 35 99 | Total Steps until valid point = 39711
135 125 | First point = 229 47 | Total Steps until valid point = 215861
109 133 | First point = 76 155 | Total Steps until valid point = 2966
109 130 | First point = 245 199 | Total Steps until valid point = 38794
118 116 | First point = 181 100 | Total Steps until valid point = 1502
129 127 | First point = 6 113 | Total Steps until valid point = 164762
121 113 | First point = 27 152 | Total Steps until valid point = 73486
134 128 | First point = 113 181 | Total Steps until valid point = 4315
132 124 | First point = 145 148 | Total Steps until valid point = 2762
116 128 | First point = 81 171 | Total Steps until valid point = 98393
127 116 | First point = 206 243 | Total Steps until valid point = 32513
109 131 | First point = 11 85 | Total Steps until valid point = 120799
124 127 | First point = 32 212 | Total Steps until valid point = 74162
135 127 | First point = 84 21 | Total Steps until valid point = 198830
120 123 | First point = 112 124 | Total Steps until valid point = 42
133 128 | First point = 236 248 | Total Steps until valid point = 36982
107 132 | First point = 65 214 | Total Steps until valid point = 28565
135 124 | First point = 131 85 | Total Steps until valid point = 5192
108 133 | First point = 86 207 | Total Steps until valid point = 43563
135 123 | First point = 203 70 | Total Steps until valid point = 4630
125 114 | First point = 50 48 | Total Steps until valid point = 88196
109 134 | First point = 188 232 | Total Steps until valid point = 25004
